Location,Team,Abbreviation,NFL_color,NFL_color2,Div
Arizona,Cardinals,ARI,#9B2743,#FFFFFF,NFCW
Atlanta,Falcons,ATL,#A6192E,#101820,NFCS
Baltimore,Ravens,BAL,#241773,#D0B240,AFCN
Buffalo,Bills,BUF,#00338D,#C8102E,AFCE
Carolina,Panthers,CAR,#0085CA,#101820,NFCS
Chicago ,Bears,CHI,#DC4405,#051C2C,NFCN
Cincinnati ,Bengals,CIN,#FC4C02,#101820,AFCN
Cleveland,Browns,CLE,#382F2D,#EB3300,AFCN
Dallas,Cowboys,DAL,#7F9695,#041E42,NFCE
Denver,Broncos,DEN,#FC4C02,#0C2340,AFCW
Detroit,Lions,DET,#0069B1,#A2AAAD,NFCN
Green Bay,Packers,GB,#175E33,#FFB81C,NFCN
Houston,Texans,HOU,#A6192E,#091F2C,AFCS
Indianapolis,Colts,IND,#001489,#FFFFFF,AFCS
Jacksonville,Jaguars,JAX,#006073,#D49F12,AFCS
Kansas City,Chiefs,KC,#C8102E,#FFB81C,AFCW
Los Angeles,Rams,LAR,#002244,#FFFFFF,NFCW
Miami,Dolphins,MIA,#008E97,#F58220,AFCE
Minnesota,Vikings,MIN,#512D6D,#FFB81C,NFCN
New England,Patriots,NE,#0C2340,#C8102E,AFCE
New Orleans,Saints,NO,#A28D5B,#101820,NFCS
New York,Giants,NYG,#001E62,#A6192E,NFCE
New York,Jets,NYJ,#0C371D,#FFFFFF,AFCE
Oakland,Raiders,OAK,#A5ACAF,#101820,AFCW
Philadelphia,Eagles,PHI,#004851,#869397,NFCE
Pittsburgh,Steelers,PIT,#FFB81C,#101820,AFCN
Los Angeles,Chargers,LAC,#0072CE,#FFB81C,AFCW
San Francisco,49ers,SF,#896C4C,#9B2743,NFCW
Seattle,Seahawks,SEA,#4DFF00,#001433,NFCW
Tampa Bay,Buccaneers,TB,#C8102E,#FF8200,NFCS
Tennessee,Titans,TEN,#4B92DB,#0C2340,AFCS
Washington,Redskins,WAS,#862633,#FFCD00,NFCE
